id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"8","WT","JD608","YPD",30,20,0,0,10,3,4,3,29,23,26,29,48,14,38,32,23,16,22,16,33,33,32,27,33,17,29,19,U,U,S,S,U,L,U,L,U,L,U,C,U,L,U,C,C,U,U,S,
2,"8","rad53","JD1082","YPD",30,20,0,0,4,5,8,3,1,2,3,3,3,6,2,5,1,3,1,7,5,4,2,2,3,9,5,12,U,S,C,S,L,L,L,S,U,S,L,S,U,L,C,L,L,L,U,C,
3,"8","rad53 los1","JD1037","YPD",30,20,2,0,7,5,1,5,6,1,2,11,5,3,,22,3,,8,11,7,17,1,2,26,2,4,7,U,C,C,S,S,S,,U,S,,U,U,C,U,C,S,U,L,U,C,
4,"8","los1","JD424","YPD",30,20,0,0,12,6,1,1,34,17,21,17,38,13,27,43,48,21,34,48,32,42,40,34,48,33,27,38,S,U,S,S,U,L,U,U,U,S,U,S,C,U,U,U,S,U,U,U,
5,"8","rad53","JD1083","YPD",30,20,0,0,5,6,7,2,6,9,1,2,8,8,17,5,2,11,2,6,9,3,2,15,4,6,2,13,S,S,L,C,S,U,U,U,L,U,L,C,L,U,S,L,L,S,L,S,
6,"8","rad53 los1","JD1100","YPD",30,20,0,0,10,3,4,3,0,12,8,10,19,2,2,9,4,2,2,8,9,7,14,17,2,24,8,6,U,U,S,L,U,U,U,L,C,C,S,U,U,U,L,U,L,S,U,C,
7,"8","los1","JD425","YPD",30,20,0,0,17,3,0,0,35,38,32,46,41,49,9,34,31,36,35,42,19,40,38,48,42,35,37,38,U,U,S,U,U,U,U,U,U,U,U,U,U,U,S,S,U,U,U,U,
8,"8","WT","GS2422","YPD",30,20,0,0,14,3,2,1,40,37,33,15,36,30,44,30,28,38,39,13,24,30,35,33,1,27,47,30,U,U,S,U,S,C,U,U,L,S,U,U,U,L,U,U,U,U,U,U,
9,"8","dal80","DC:143F11","YPD",30,20,0,0,14,4,0,2,37,29,25,24,20,28,30,31,37,16,9,39,39,34,34,26,41,31,25,23,U,U,C,S,U,S,U,U,U,C,S,U,U,U,U,U,S,U,U,U,
10,"11","rad53","JD1082","0.05% D",30,20,0,0,6,12,2,0,10,5,2,4,5,1,3,2,8,7,2,1,1,1,5,1,2,4,0,15,U,S,S,S,S,S,S,U,S,U,S,S,S,U,U,L,L,S,S,U,
11,"8","WT","GS2422","0.05% D",30,20,0,0,19,1,0,0,42,49,24,31,34,22,19,12,32,20,28,23,33,30,26,12,43,40,18,23,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,
12,"11","los1","JD424","0.05% D",30,20,0,0,19,1,0,0,38,37,38,26,26,20,23,16,23,40,27,46,18,32,31,26,6,22,16,14,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,U,
13,"11","rad53","JD1083","0.05% D",30,20,0,0,4,6,7,3,2,1,0,1,0,4,0,8,2,5,3,3,0,1,6,5,4,7,2,3,L,L,S,S,U,U,L,C,U,L,L,S,U,L,L,C,S,S,S,C,
14,"8","WT","GS2422","0.05% D",30,20,0,0,16,3,1,0,23,32,36,25,22,27,16,54,16,51,29,17,28,42,44,26,4,37,57,46,U,U,U,U,U,U,S,U,U,U,S,U,S,U,U,U,L,U,U,U,
15,"16","rad53 fob1","JD1087","0.05% D",30,20,0,0,14,6,0,0,12,3,10,11,4,4,7,1,3,0,5,7,0,7,4,2,0,3,6,16,U,U,U,S,U,U,U,U,S,U,S,S,S,U,U,U,S,U,U,U,
