id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"17","vma6","JS361","0.1% D",30,20,0,0,18,2,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,U,U,S,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,
2,"17","vma5","JS358","0.1% D",30,20,0,0,18,2,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,2,1,6,4,0,0,2,U,U,U,U,U,U,U,U,U,U,U,U,U,S,S,U,U,U,U,U,
3,"17","BY4742","GS2422","0.1% D",30,20,0,0,10,8,0,2,33,42,16,14,23,34,46,28,46,46,70,37,42,36,12,11,59,32,19,17,S,U,U,S,S,U,U,U,U,U,C,S,U,U,U,S,C,S,S,S,
4,"17","vma21","JS270","0.1% D",30,20,0,0,18,2,0,0,0,6,0,1,0,1,2,1,0,4,1,0,0,0,1,0,0,0,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,S,
5,"17","vma5","JS359","0.1% D",30,20,0,0,18,2,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,U,S,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,
6,"17","vma21","JS270","0.1% D",30,20,0,0,20,0,0,0,1,1,0,2,3,1,0,4,0,0,0,7,0,2,4,3,3,0,0,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
7,"17","vma6","JS361","0.1% D",30,20,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
8,"17","vma6","JS361","0.05% D",30,20,0,0,20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
9,"17","vma5","JS358","0.05% D",30,20,0,0,20,0,0,0,1,0,0,1,0,0,2,0,1,0,2,0,1,0,0,1,0,0,0,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
10,"17","BY4742","GS2422","0.05% D",30,20,0,0,0,20,0,0,9,47,43,32,40,57,20,40,33,35,18,48,38,26,36,28,26,13,48,47,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,
11,"17","vma21","JS270","0.05% D",30,20,0,0,19,1,0,0,1,3,4,0,4,3,12,1,1,0,1,0,1,2,1,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,
12,"17","vma5","JS359","0.05% D",30,20,0,0,18,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,U,S,
13,"17","vma21","JS270","0.05% D",30,20,0,0,19,1,0,0,3,0,2,1,0,0,0,0,0,4,3,1,2,0,1,1,0,0,2,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,
14,"17","vma6","JS361","0.05% D",30,20,0,0,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,
15,"17","vma6","JS361","YPD",30,20,0,0,13,7,0,0,1,1,2,2,2,9,1,0,0,17,2,2,2,6,2,3,0,3,0,9,U,U,U,U,S,U,S,U,U,S,U,U,S,S,S,U,S,U,U,U,
16,"17","vma5","JS358","YPD",30,20,0,0,8,10,2,0,4,20,5,1,2,0,0,2,4,3,1,5,3,26,1,10,4,1,3,0,U,U,U,S,L,U,S,L,U,U,U,S,S,S,S,S,S,U,S,S,
17,"17","BY4742","GS2422","YPD",30,20,1,0,15,3,0,1,27,14,36,26,24,50,0,1,0,17,22,34,9,23,12,26,29,16,,29,U,U,U,U,U,S,U,U,U,U,U,U,S,U,S,C,U,U,,U,
18,"17","vma21","JS270","YPD",30,20,0,0,14,5,1,0,5,1,0,4,4,5,6,0,2,2,3,4,4,0,4,5,3,4,5,0,S,U,U,U,U,U,U,U,U,U,S,U,U,L,U,S,S,U,S,U,
19,"17","vma5","JS359","YPD",30,20,0,0,11,9,0,0,0,4,17,0,3,2,1,1,18,12,1,0,2,8,14,2,5,1,16,2,U,U,U,S,S,S,S,S,U,S,U,U,S,S,S,U,U,U,U,U,
20,"17","vma21","JS270","YPD",30,20,0,0,18,2,0,0,10,0,0,3,4,2,3,2,2,3,1,6,4,2,1,3,1,4,1,15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,S,U,U,U,
21,"17","vma6","JS361","YPD",30,20,0,0,20,0,0,0,0,6,1,3,1,1,1,5,2,0,2,0,7,1,1,1,1,7,1,5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
22,"17","vma6","JS361","0.005% D",30,20,0,0,20,0,0,0,0,0,0,2,0,0,0,0,4,0,11,1,1,2,3,0,1,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
23,"17","vma5","JS358","0.005% D",30,20,0,0,20,0,0,0,4,0,0,6,0,1,0,2,0,0,2,6,2,2,3,4,4,0,3,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
24,"17","BY4742","GS2422","0.005% D",30,20,0,0,20,0,0,0,18,30,33,33,49,24,36,36,25,27,38,20,33,19,21,64,28,26,32,25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
25,"17","vma21","JS270","0.005% D",30,20,0,0,20,0,0,0,0,1,0,5,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
