id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"","BY4742","GS2422 ","YPD",30,20,0,0,17,3,0,0,36,31,37,38,32,12,25,31,32,42,14,34,29,19,28,25,34,21,29,38,U,U,U,U,U,S,U,S,U,U,U,U,U,U,S,U,U,U,U,U,
2,"","rpl20b","JS183 ","YPD",30,20,0,0,16,3,1,0,44,53,31,49,27,10,18,37,28,32,29,45,45,31,30,39,40,30,13,43,U,U,U,U,U,U,L,U,U,S,U,U,U,U,S,U,U,U,S,U,
3,"","phb1","JS16 ","YPD",30,20,0,0,18,1,0,1,9,9,8,8,5,8,1,14,14,17,12,16,11,29,17,11,6,15,18,14,U,U,U,S,U,U,U,U,U,C,U,U,U,U,U,U,U,U,U,U,
4,"","rpl20b gcn4","JS1150 ","YPD",30,20,0,0,13,4,1,2,42,36,26,42,44,28,24,20,45,42,24,23,38,52,31,22,37,23,46,61,S,L,U,U,U,U,U,C,U,S,S,C,U,U,U,U,U,S,U,U,
5,"","rpl20b gcn4 phb1","JS1240 ","YPD",30,20,0,0,15,3,2,0,23,20,40,27,26,34,31,36,38,35,23,14,21,21,12,14,42,32,38,29,U,U,U,U,S,U,U,U,U,U,S,L,U,U,L,U,U,S,U,U,
6,"","rpl20b gcn4 phb1","JS1240 ","YPD",30,20,0,0,14,6,0,0,18,22,35,34,19,34,25,9,43,23,20,31,25,34,21,32,49,36,31,33,S,U,U,S,U,U,S,S,S,U,U,S,U,U,U,U,U,U,U,U,
7,"","rpl20b gcn4 phb1","JS1241 ","YPD",30,20,0,0,15,5,0,0,25,7,32,24,18,19,17,3,25,35,32,29,18,34,26,17,20,21,20,17,U,U,U,U,U,U,U,S,U,U,U,U,U,S,U,S,U,U,S,S,
8,"","gcn4","JS1390 ","YPD",30,20,0,0,14,3,2,1,43,23,40,26,31,25,30,30,31,41,31,33,20,36,52,26,31,36,15,17,U,U,U,S,U,U,S,U,U,S,U,C,U,L,U,U,U,U,L,U,
9,"","phb2","JS16 ","YPD",30,20,0,0,19,1,0,0,10,7,11,10,18,19,18,15,4,16,12,16,11,13,17,12,10,15,24,13,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,U,U,
10,"","rip1","JS622 ","YPD",30,20,0,0,0,0,0,0,19,20,21,25,14,27,27,23,24,31,15,29,23,21,27,17,18,22,12,8,,,,,,,,,,,,,,,,,,,,,
11,"","rip1 phb2","JS866 ","YPD",30,20,0,0,0,20,0,0,12,10,13,13,13,1,14,13,3,11,12,12,11,5,2,4,12,2,12,11,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,
12,"","rip1 phb2","JS866 ","YPD",30,20,0,0,19,1,0,0,4,9,9,15,10,10,11,16,3,12,3,7,10,9,3,9,12,13,10,12,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,
13,"","BY4742","GS2422 ","YPD",30,20,0,0,0,0,0,0,16,5,19,20,19,19,17,20,18,13,21,18,20,20,19,19,17,18,11,13,,,,,,,,,,,,,,,,,,,,,
14,"","phb2","JS16 ","YPD",30,20,0,0,0,0,0,0,14,13,14,14,15,13,12,15,15,17,13,14,15,9,15,14,12,11,14,13,,,,,,,,,,,,,,,,,,,,,
15,"","rip1","JS622 ","YPD",30,20,0,0,0,0,0,0,15,16,16,12,14,13,16,14,17,17,14,13,15,16,15,15,15,17,16,15,,,,,,,,,,,,,,,,,,,,,
16,"","rip1 phb2","JS866 ","0.05% D",30,20,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"","rip1 phb2","JS866 ","0.05% D",30,20,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"","rpl20b gcn4 phb2","JS1145 ","YPD",30,20,0,0,19,0,1,0,28,25,14,26,26,28,7,15,13,19,21,25,21,18,22,23,26,26,24,14,U,U,U,U,U,L,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
19,"","rpl20b gcn4 phb2","JS1145 ","YPD",30,20,0,0,18,2,0,0,23,21,21,30,16,13,21,29,20,17,16,27,16,10,15,21,15,24,19,16,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,S,U,U,U,
20,"","rpl20b gcn4 phb2","JS1145 ","YPD",30,20,0,0,18,2,0,0,14,20,17,20,16,14,24,17,20,21,14,17,24,24,22,16,22,14,14,21,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,S,U,
21,"","rpl20b gcn4 phb2","JS1145 ","0.05% D",30,20,1,0,13,5,1,0,23,18,38,41,32,12,14,35,40,,36,36,26,31,24,9,17,32,28,29,S,U,S,U,U,U,L,U,S,,U,U,U,U,U,U,S,U,S,U,
22,"","rpl20b gcn4 phb2","JS1145 ","0.05% D",30,20,0,0,14,3,1,2,35,18,23,16,32,25,22,29,36,27,35,17,40,20,26,35,35,23,20,38,S,U,U,U,L,U,U,U,C,U,U,C,U,U,S,U,U,U,S,U,
23,"","rpl20b gcn4 phb2","JS1145 ","0.05% D",30,20,0,0,13,2,3,2,39,35,27,31,28,28,19,16,29,36,9,39,10,19,36,15,10,9,17,25,U,S,U,U,L,U,U,L,U,U,U,C,S,U,U,U,U,L,U,C,
24,"","rpl20b gcn4 phb1","JS1240 ","0.05% D",30,20,1,0,15,2,0,2,39,54,29,11,29,39,33,,35,19,43,46,3,29,43,26,27,21,26,19,U,U,U,U,U,U,U,,C,U,S,S,C,U,U,U,U,U,U,U,
25,"","rpl20b gcn4 phb1","JS1240 ","0.05% D",30,20,0,0,15,5,0,0,32,31,61,22,41,29,35,29,32,41,43,32,30,29,30,50,19,37,42,33,S,S,U,U,U,U,U,U,U,U,U,U,U,S,U,S,S,U,U,U,
26,"","rpl20b gcn4 phb1","JS1241 ","0.05% D",30,20,0,0,11,7,1,1,24,6,13,16,25,18,39,9,41,39,45,27,42,46,35,32,39,34,2,25,S,S,S,L,U,S,U,C,U,S,S,U,U,U,U,U,U,U,S,U,
27,"","phb1","JS16 ","0.05% D",30,20,0,0,18,1,1,0,20,26,23,29,20,25,41,26,35,38,21,37,58,38,14,38,25,20,26,24,U,U,U,U,U,U,U,U,U,U,U,U,L,U,U,S,U,U,U,U,
28,"","rpl20b","JS183 ","0.05% D",30,20,0,0,14,3,2,1,48,39,53,35,35,52,58,24,51,53,43,21,37,33,23,50,18,48,35,31,U,S,U,U,U,U,U,S,U,U,U,L,U,U,S,L,C,U,U,U,
29,"","BY4742","GS2422 ","0.05% D",30,20,0,0,12,4,2,2,30,35,13,17,23,35,36,29,31,32,21,36,36,27,23,14,22,17,22,25,C,U,S,L,U,U,U,U,U,L,S,U,C,U,S,S,U,U,U,U,
30,"","rpl20b","JS183 ","0.05% D",30,20,0,0,17,3,0,0,58,46,13,50,46,58,33,33,64,53,46,35,42,42,54,11,53,14,26,55,U,U,S,U,U,U,U,S,U,U,U,U,U,U,U,S,U,U,U,U,
