id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,endCode,2,3,4,5,6,7,8,9,10
39,"4","THC TetO UTP22","THC:3D7","YPD",30,10,0,0,9,1,0,0,20,36,11,24,26,26,21,17,13,20,U,U,U,U,U,U,U,U,U,S,
40,"4","THC TetO ZPR1","THC:3E7","YPD",30,10,0,0,5,1,3,1,43,52,53,39,23,39,57,40,48,44,U,U,U,C,L,U,L,S,U,L,
41,"4","THC TetO YGR251w","THC:3F7","YPD",30,10,0,0,5,3,2,0,37,30,50,22,46,25,31,37,38,45,L,U,U,U,U,S,S,L,S,U,
42,"4","THC TetO YKL082C","THC:3G7","YPD",30,10,1,0,6,2,0,1,14,50,35,42,34,44,47,,46,44,U,S,C,U,U,S,U,,U,U,
43,"4","THC TetO RPL17A","THC:3H7","YPD",30,10,0,0,6,1,2,1,23,43,19,24,32,46,30,21,34,36,U,U,L,U,U,U,L,S,C,U,
44,"4","THC TetO RSC58","THC:3A8","YPD",30,10,1,0,9,0,0,0,34,43,30,,16,32,37,26,39,40,U,U,U,,U,U,U,U,U,U,
45,"4","THC TetO YLR424W","THC:3B8","YPD",30,10,0,0,4,5,0,1,32,13,16,21,27,26,36,19,27,37,S,S,U,S,U,U,U,C,S,S,
46,"4","THC TetO IPI2","THC:3C8","YPD",30,10,0,0,6,0,1,3,22,18,37,41,23,11,48,19,30,35,U,C,U,U,U,L,U,U,C,C,
47,"4","THC TetO SEC18","THC:3D8","YPD",30,10,0,0,8,1,1,0,14,38,20,57,30,8,7,25,36,34,U,L,U,U,U,U,U,U,U,S,
48,"4","THC TetO SUP45","THC:3E8","YPD",30,10,0,0,7,2,1,0,47,2,28,44,22,45,39,33,46,12,S,L,U,U,U,U,U,U,U,S,
49,"4","THC TetO SQT1","THC:3F8","YPD",30,10,0,0,4,3,1,2,22,43,29,32,28,25,28,14,36,38,L,U,S,S,U,U,S,C,C,U,
50,"4","THC TetO HAS1","THC:3G8","YPD",30,10,0,0,6,1,0,3,23,12,11,13,13,16,24,21,12,33,U,U,C,U,C,C,U,S,U,U,
51,"4","THC TetO NOG2","THC:3H8","YPD",30,10,0,0,10,0,0,0,33,37,33,31,38,48,38,44,24,32,U,U,U,U,U,U,U,U,U,U,
52,"4","THC TetO SME1","THC:3A9","YPD",30,10,0,0,3,5,2,0,4,29,17,2,3,10,10,12,1,4,S,L,L,U,U,S,S,S,S,U,
53,"4","THC TetO SRP68","THC:3B9","YPD",30,10,0,0,7,0,2,1,15,34,34,19,22,13,11,24,31,33,U,U,L,L,U,C,U,U,U,U,
54,"4","THC TetO UTP19","THC:3C9","YPD",30,10,0,0,7,2,1,0,2,38,40,33,20,39,23,25,43,8,U,U,U,U,S,L,U,S,U,U,
55,"4","THC TetO NOG1","THC:3D9","YPD",30,10,0,0,8,2,0,0,19,20,34,21,24,37,41,24,23,14,U,U,U,U,S,U,U,U,S,U,
56,"4","THC TetO PRP4","THC:3E9","YPD",30,10,0,0,9,1,0,0,38,18,25,17,11,28,23,23,14,15,U,U,U,S,U,U,U,U,U,U,
57,"4","TetO WT","JD436","YPD",30,10,0,0,7,1,0,2,19,22,16,30,23,24,3,22,21,24,C,U,U,U,C,U,U,S,U,U,
58,"4","THC TetO RPO21","THC:3F9","YPD",30,10,0,0,6,0,2,2,18,21,27,18,22,15,23,27,5,8,L,U,C,C,L,U,U,U,U,U,
59,"4","THC TetO LSM5","THC:3G9","YPD",30,10,0,0,9,1,0,0,34,44,20,27,18,11,17,14,28,29,S,U,U,U,U,U,U,U,U,U,
60,"4","THC TetO DRE3","THC:3H9","YPD",30,10,0,0,10,0,0,0,31,1,1,18,17,36,3,17,17,3,U,U,U,U,U,U,U,U,U,U,
