id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"","BY4742","LF960","YPD",30,20,0,0,12,3,1,4,3,20,36,30,13,25,31,30,27,36,24,33,16,23,25,14,29,36,27,25,U,U,U,U,U,U,S,L,U,S,U,U,C,C,U,C,C,S,U,U,
2,"","BY4742","LF960","YPD",30,20,0,0,12,4,1,3,17,17,32,8,22,19,26,19,19,19,21,20,30,36,27,29,32,27,34,25,S,S,U,U,S,U,U,C,U,U,S,C,U,U,U,L,U,C,U,U,
3,"1,2 ","gcn5","DC:150A11","YPD",30,20,0,0,14,2,1,3,34,33,18,47,32,48,27,17,49,39,24,21,28,20,22,38,37,18,23,11,U,S,S,U,U,U,U,U,U,U,C,C,U,U,U,L,U,U,C,U,
4,"1,2 ","gcn5","DC:150A11","YPD",30,20,0,0,17,2,0,1,39,35,35,33,24,22,38,7,18,38,8,40,46,22,45,20,35,31,48,42,S,U,U,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,
5,"1,2 ","ubr2","BR2056","YPD",30,20,0,0,19,0,1,0,30,46,47,11,47,41,45,55,35,36,27,15,42,12,35,35,48,43,30,18,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,L,
6,"1,2 ","ubr2","BR2056","YPD",30,20,0,0,18,2,0,0,46,43,47,50,14,47,38,33,34,47,41,50,33,44,49,50,46,31,46,41,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,S,U,U,
7,"1,2 ","ubr2 gcn5","ST2642","YPD",30,20,0,0,17,1,1,1,35,37,38,45,20,31,34,21,21,12,29,41,5,29,24,31,23,43,25,18,U,U,U,U,U,U,U,U,C,U,U,U,L,U,U,U,U,S,U,U,
8,"1,2 ","ubr2 gcn5","ST2642","YPD",30,20,0,0,16,1,2,1,42,17,29,32,17,18,17,39,26,22,17,26,16,33,7,24,25,18,10,27,L,L,U,U,U,U,U,U,S,U,U,U,U,U,U,C,U,U,U,U,
9,"1,2 ","ubr2 gcn5","ST2657","YPD",30,20,0,0,14,1,4,1,19,32,53,55,13,16,39,19,17,35,34,16,41,44,47,29,25,34,29,12,C,L,U,U,L,U,S,L,U,U,U,U,U,U,L,U,U,U,U,U,
10,"1,2 ","ubr2 gcn5","ST2657","YPD",30,20,0,0,17,2,0,1,27,26,13,28,43,29,39,31,38,39,25,42,28,11,4,36,39,30,20,51,U,C,U,U,U,U,U,U,U,S,U,U,S,U,U,U,U,U,U,U,
