id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,"","mgm1","BW61 ","0.05% D",30,20,0,0,17,3,0,0,28,14,23,21,35,20,29,17,28,46,35,19,19,26,12,21,17,34,14,45,U,U,U,U,U,U,U,U,U,U,S,U,U,U,S,U,U,U,S,U,
12,"","mgm1 phb2","BW10 ","0.05% D",30,20,0,0,19,0,0,1,28,9,9,13,21,1,15,15,2,2,9,25,7,14,7,22,19,7,24,11,U,U,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
13,"","phb1","BW21 ","0.05% D",30,20,0,0,19,0,1,0,48,23,59,26,27,47,29,20,11,35,36,49,27,33,48,27,26,27,55,13,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,L,U,U,U,U,
14,"","phb2","BW22 ","0.05% D",30,20,0,0,18,2,0,0,33,29,39,32,43,30,29,33,12,27,23,23,23,11,34,22,30,31,12,33,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,S,U,U,U,
15,"","phb1 ras2","BW76 ","0.05% D",30,20,0,0,14,6,0,0,17,15,18,25,15,22,4,21,22,13,15,16,19,18,20,20,13,14,16,13,U,U,U,U,U,U,S,U,S,S,S,U,U,U,U,U,S,U,S,U,
16,"","phb2 ras2","BW80 ","0.05% D",30,20,0,0,19,0,1,0,13,20,21,16,17,13,12,15,31,16,9,8,18,22,16,15,16,12,14,6,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,L,
17,"","BY4741","BW70 ","YPD",30,20,0,0,11,6,1,2,27,26,38,28,37,31,13,18,28,37,38,39,9,37,28,7,18,33,37,11,U,S,C,U,U,U,U,U,U,U,C,U,S,S,S,U,S,L,S,U,
18,"","ras2","BW74 ","YPD",30,20,0,0,19,1,0,0,22,31,33,20,25,59,24,32,20,8,23,35,28,24,22,26,39,23,29,26,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,
19,"","mdl1","BW18 ","YPD",30,20,0,0,15,3,1,1,35,25,40,21,37,10,28,21,12,31,13,34,20,12,47,17,16,15,33,32,U,U,C,U,U,L,S,U,U,U,U,U,S,U,U,U,S,U,U,U,
20,"","phb1 mdl1","BW93 ","YPD",30,20,0,0,18,1,1,0,18,10,11,10,16,15,16,10,12,12,14,7,14,12,13,19,9,6,8,19,U,U,U,U,L,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,
21,"","phb2 mdl1","BW95 ","YPD",30,20,0,0,19,1,0,0,12,15,9,12,14,7,13,16,10,12,25,14,12,19,21,7,10,10,5,4,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,
22,"","est2 (1)","BW113 ","YPD",30,20,0,0,15,5,0,0,29,6,13,8,14,9,14,10,8,14,10,23,6,13,14,15,13,5,11,9,S,U,U,U,U,U,U,U,U,U,S,S,U,U,S,S,U,U,U,U,
23,"","est2 (5)","BW114 ","YPD",30,20,0,0,9,2,5,4,3,3,4,8,1,5,7,2,6,3,2,3,5,2,5,2,3,3,4,1,U,U,U,S,U,S,U,C,U,L,U,L,U,L,L,L,C,C,C,U,
24,"","BY4741","BW70 ","0.05% D",30,20,0,0,10,7,2,1,37,25,41,33,30,24,35,34,34,19,32,22,29,21,21,25,24,40,22,13,C,S,S,U,S,S,S,U,U,U,U,U,L,S,U,U,U,U,L,S,
25,"","ras2","BW74 ","0.05% D",30,20,0,0,19,1,0,0,16,15,18,15,22,23,15,22,17,17,24,29,15,20,25,25,21,22,20,22,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,
26,"","mdl1","BW18 ","0.05% D",30,20,0,0,11,8,0,1,17,20,19,29,11,33,22,25,37,23,25,6,31,13,40,42,37,33,37,33,U,U,S,U,S,U,U,S,U,S,U,S,U,U,U,S,S,C,S,U,
27,"","phb1 mdl1","BW93 ","0.05% D",30,20,0,0,16,3,1,0,19,54,26,41,34,26,20,55,32,28,24,17,22,31,24,29,14,49,25,16,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,S,L,S,U,U,
28,"","phb2 mdl1","BW95 ","0.05% D",30,20,0,0,19,1,0,0,39,17,20,27,23,28,30,35,38,26,20,28,23,29,24,32,22,27,36,23,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,U,U,
29,"","est2 (1)","BW113 ","0.05% D",30,20,0,0,14,1,4,1,13,8,28,28,14,30,11,13,23,27,31,19,9,16,25,11,1,13,20,31,U,U,U,U,S,U,U,U,U,C,L,U,U,U,L,U,U,U,L,L,
30,"","est2 (5)","BW114 ","0.05% D",30,20,0,0,2,7,6,5,8,6,1,6,6,7,2,7,3,4,8,4,7,4,6,4,6,4,6,0,C,S,S,S,S,L,S,L,U,C,C,C,L,U,L,L,C,S,S,L,
