id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"","W303","BW2 ","YPD",30,20,2,0,13,3,0,2,13,38,32,27,27,25,62,19,15,24,,,22,21,23,45,31,26,14,12,U,U,U,U,C,S,U,U,U,U,,,U,C,U,U,S,U,U,S,
2,"","mgm1","BW60 ","YPD",30,20,0,0,20,0,0,0,32,13,17,9,14,17,15,15,17,10,16,28,7,20,17,21,17,22,13,23,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
3,"","BY4742","BW1 ","YPD",30,20,0,0,11,4,0,5,31,1,16,31,23,25,29,14,16,31,10,17,35,28,10,21,33,18,44,29,C,U,U,C,U,U,U,C,C,U,S,U,S,U,S,C,U,U,U,S,
4,"","mgm1","BW61 ","YPD",30,20,0,0,20,0,0,0,6,11,7,8,13,18,11,9,21,15,10,12,18,10,12,5,11,20,6,10,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
5,"","mgm1 phb2","BW10 ","YPD",30,20,0,0,19,1,0,0,1,0,23,0,11,8,0,10,3,9,17,5,10,12,22,4,18,2,9,9,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,U,
6,"","phb1","BW21 ","YPD",30,20,0,0,19,1,0,0,16,10,13,6,12,13,14,23,11,6,16,7,21,1,6,4,7,15,11,16,U,U,U,S,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
7,"","phb2","BW22 ","YPD",30,20,0,0,18,1,0,1,14,25,19,21,21,16,24,4,24,21,16,18,19,26,25,24,13,13,25,23,U,U,U,U,U,U,U,C,U,U,U,U,U,U,S,U,U,U,U,U,
8,"","phb1 ras2","BW76 ","YPD",30,20,0,0,18,1,1,0,24,29,24,22,23,27,17,24,10,30,29,31,25,22,15,22,16,16,21,27,U,U,U,U,U,U,U,L,U,U,U,U,U,U,U,S,U,U,U,U,
9,"","phb2 ras2","BW80 ","YPD",30,20,0,0,18,2,0,0,17,30,24,18,28,21,20,23,29,16,22,24,26,22,17,26,19,22,13,27,U,U,U,U,U,U,U,U,U,U,S,U,U,U,S,U,U,U,U,U,
10,"","BY4742","BW1 ","0.05% D",30,20,0,0,14,2,2,2,14,21,16,41,15,28,25,33,13,13,21,30,20,16,25,20,10,42,31,21,U,C,U,U,U,L,U,U,U,U,U,U,S,S,L,C,U,U,U,U,
